>>>> graph <<<<
Testing robby/graph-test/9.L2f ............... passed
Testing robby/graph-test/89.L2f .............. passed
Testing robby/graph-test/88.L2f .............. passed
Testing robby/graph-test/87.L2f .............. passed
Testing robby/graph-test/86.L2f .............. passed
Testing robby/graph-test/85.L2f .............. passed
Testing robby/graph-test/84.L2f .............. passed
Testing robby/graph-test/83.L2f .............. passed
Testing robby/graph-test/82.L2f .............. passed
Testing robby/graph-test/81.L2f .............. passed
Testing robby/graph-test/80.L2f .............. passed
Testing robby/graph-test/8.L2f ............... passed
Testing robby/graph-test/79.L2f .............. passed
Testing robby/graph-test/78.L2f .............. passed
Testing robby/graph-test/77.L2f .............. passed
Testing robby/graph-test/76.L2f .............. passed
Testing robby/graph-test/75.L2f .............. passed
Testing robby/graph-test/74.L2f .............. passed
Testing robby/graph-test/73.L2f .............. passed
Testing robby/graph-test/72.L2f .............. passed
Testing robby/graph-test/71.L2f .............. passed
Testing robby/graph-test/70.L2f .............. passed
Testing robby/graph-test/7.L2f ............... passed
Testing robby/graph-test/69.L2f .............. passed
Testing robby/graph-test/68.L2f .............. passed
Testing robby/graph-test/67.L2f .............. passed
Testing robby/graph-test/66.L2f .............. passed
Testing robby/graph-test/65.L2f .............. passed
Testing robby/graph-test/64.L2f .............. passed
Testing robby/graph-test/63.L2f .............. passed
Testing robby/graph-test/62.L2f .............. passed
Testing robby/graph-test/61.L2f .............. passed
Testing robby/graph-test/60.L2f .............. passed
Testing robby/graph-test/6.L2f ............... passed
Testing robby/graph-test/59.L2f .............. passed
Testing robby/graph-test/58.L2f .............. passed
Testing robby/graph-test/57.L2f .............. passed
Testing robby/graph-test/56.L2f .............. passed
Testing robby/graph-test/55.L2f .............. passed
Testing robby/graph-test/54.L2f .............. passed
Testing robby/graph-test/53.L2f .............. passed
Testing robby/graph-test/52.L2f .............. passed
Testing robby/graph-test/51.L2f .............. passed
Testing robby/graph-test/50.L2f .............. passed
Testing robby/graph-test/5.L2f ............... passed
Testing robby/graph-test/49.L2f .............. passed
Testing robby/graph-test/48.L2f .............. passed
Testing robby/graph-test/47.L2f .............. passed
Testing robby/graph-test/46.L2f .............. passed
Testing robby/graph-test/45.L2f .............. passed
Testing robby/graph-test/44.L2f .............. passed
Testing robby/graph-test/43.L2f .............. passed
Testing robby/graph-test/42.L2f .............. passed
Testing robby/graph-test/41.L2f .............. passed
Testing robby/graph-test/40.L2f .............. passed
Testing robby/graph-test/4.L2f ............... passed
Testing robby/graph-test/39.L2f .............. passed
Testing robby/graph-test/38.L2f .............. passed
Testing robby/graph-test/37.L2f .............. passed
Testing robby/graph-test/36.L2f .............. passed
Testing robby/graph-test/35.L2f .............. passed
Testing robby/graph-test/34.L2f .............. passed
Testing robby/graph-test/33.L2f .............. passed
Testing robby/graph-test/32.L2f .............. passed
Testing robby/graph-test/31.L2f .............. passed
Testing robby/graph-test/30.L2f .............. passed
Testing robby/graph-test/3.L2f ............... passed
Testing robby/graph-test/29.L2f .............. passed
Testing robby/graph-test/28.L2f .............. passed
Testing robby/graph-test/27.L2f .............. passed
Testing robby/graph-test/26.L2f .............. passed
Testing robby/graph-test/25.L2f .............. passed
Testing robby/graph-test/24.L2f .............. passed
Testing robby/graph-test/23.L2f .............. passed
Testing robby/graph-test/22.L2f .............. passed
Testing robby/graph-test/21.L2f .............. passed
Testing robby/graph-test/20.L2f .............. passed
Testing robby/graph-test/2.L2f ............... passed
Testing robby/graph-test/19.L2f .............. passed
Testing robby/graph-test/18.L2f .............. passed
Testing robby/graph-test/17.L2f .............. passed
Testing robby/graph-test/16.L2f .............. passed
Testing robby/graph-test/15.L2f .............. passed
Testing robby/graph-test/14.L2f .............. passed
Testing robby/graph-test/13.L2f .............. passed
Testing robby/graph-test/12.L2f .............. passed
Testing robby/graph-test/11.L2f .............. passed
Testing robby/graph-test/10.L2f .............. passed
Testing robby/graph-test/1.L2f ............... passed
Testing robby/graph-test/0.L2f ............... passed
Testing 41/graph-test/9.L2f .................. passed
Testing 41/graph-test/8.L2f .................. passed
Testing 41/graph-test/7.L2f .................. passed
Testing 41/graph-test/6.L2f .................. passed
Testing 41/graph-test/5.L2f .................. passed
Testing 41/graph-test/4.L2f .................. passed
Testing 41/graph-test/3.L2f .................. passed
Testing 41/graph-test/2.L2f .................. passed
Testing 41/graph-test/16.L2f ................. passed
Testing 41/graph-test/15.L2f ................. passed
Testing 41/graph-test/14.L2f ................. passed
Testing 41/graph-test/13.L2f ................. passed
Testing 41/graph-test/12.L2f ................. passed
Testing 41/graph-test/11.L2f ................. passed
Testing 41/graph-test/10.L2f ................. passed
Testing 41/graph-test/1.L2f .................. passed
Testing 39/graph-test/test9.L2f .............. passed
Testing 39/graph-test/test8.L2f .............. passed
Testing 39/graph-test/test7.L2f .............. passed
Testing 39/graph-test/test6.L2f .............. passed
Testing 39/graph-test/test5.L2f .............. passed
Testing 39/graph-test/test4.L2f .............. passed
Testing 39/graph-test/test3.L2f .............. passed
Testing 39/graph-test/test2.L2f .............. passed
Testing 39/graph-test/test15.L2f ............. passed
Testing 39/graph-test/test14.L2f ............. passed
Testing 39/graph-test/test13.L2f ............. passed
Testing 39/graph-test/test12.L2f ............. passed
