>>>> L4 <<<<
Testing robby/4-test/99.L4 ..... passed
Testing robby/4-test/98.L4 ..... passed
Testing robby/4-test/97.L4 ..... passed
Testing robby/4-test/96.L4 ..... passed
Testing robby/4-test/95.L4 ..... passed
Testing robby/4-test/94.L4 ..... passed
Testing robby/4-test/93.L4 ..... passed
Testing robby/4-test/92.L4 ..... passed
Testing robby/4-test/91.L4 ..... passed
Testing robby/4-test/90.L4 ..... passed
Testing robby/4-test/9.L4 ...... passed
Testing robby/4-test/89.L4 ..... passed
Testing robby/4-test/88.L4 ..... passed
Testing robby/4-test/87.L4 ..... passed
Testing robby/4-test/86.L4 ..... passed
Testing robby/4-test/85.L4 ..... passed
Testing robby/4-test/84.L4 ..... passed
Testing robby/4-test/83.L4 ..... passed
Testing robby/4-test/82.L4 ..... passed
Testing robby/4-test/81.L4 ..... passed
Testing robby/4-test/80.L4 ..... passed
Testing robby/4-test/8.L4 ...... passed
Testing robby/4-test/79.L4 ..... passed
Testing robby/4-test/78.L4 ..... passed
Testing robby/4-test/77.L4 ..... passed
Testing robby/4-test/76.L4 ..... passed
Testing robby/4-test/75.L4 ..... passed
Testing robby/4-test/74.L4 ..... passed
Testing robby/4-test/73.L4 ..... passed
Testing robby/4-test/72.L4 ..... passed
Testing robby/4-test/71.L4 ..... passed
Testing robby/4-test/70.L4 ..... passed
Testing robby/4-test/7.L4 ...... passed
Testing robby/4-test/69.L4 ..... passed
Testing robby/4-test/68.L4 ..... passed
Testing robby/4-test/67.L4 ..... passed
Testing robby/4-test/66.L4 ..... passed
Testing robby/4-test/65.L4 ..... passed
Testing robby/4-test/64.L4 ..... passed
Testing robby/4-test/63.L4 ..... passed
Testing robby/4-test/62.L4 ..... passed
Testing robby/4-test/61.L4 ..... passed
Testing robby/4-test/60.L4 ..... passed
Testing robby/4-test/6.L4 ...... passed
Testing robby/4-test/59.L4 ..... passed
Testing robby/4-test/58.L4 ..... passed
Testing robby/4-test/57.L4 ..... passed
Testing robby/4-test/56.L4 ..... passed
Testing robby/4-test/55.L4 ..... passed
Testing robby/4-test/54.L4 ..... passed
Testing robby/4-test/53.L4 ..... passed
Testing robby/4-test/52.L4 ..... passed
Testing robby/4-test/51.L4 ..... passed
Testing robby/4-test/50.L4 ..... passed
Testing robby/4-test/5.L4 ...... passed
Testing robby/4-test/49.L4 ..... passed
Testing robby/4-test/48.L4 ..... passed
Testing robby/4-test/47.L4 ..... passed
Testing robby/4-test/46.L4 ..... passed
Testing robby/4-test/45.L4 ..... passed
Testing robby/4-test/44.L4 ..... passed
Testing robby/4-test/43.L4 ..... passed
Testing robby/4-test/42.L4 ..... passed
Testing robby/4-test/41.L4 ..... passed
Testing robby/4-test/40.L4 ..... passed
Testing robby/4-test/4.L4 ...... passed
Testing robby/4-test/39.L4 ..... passed
Testing robby/4-test/38.L4 ..... passed
Testing robby/4-test/37.L4 ..... passed
Testing robby/4-test/36.L4 ..... passed
Testing robby/4-test/35.L4 ..... passed
Testing robby/4-test/34.L4 ..... passed
Testing robby/4-test/33.L4 ..... passed
Testing robby/4-test/32.L4 ..... passed
Testing robby/4-test/31.L4 ..... passed
Testing robby/4-test/30.L4 ..... passed
Testing robby/4-test/3.L4 ...... passed
Testing robby/4-test/29.L4 ..... passed
Testing robby/4-test/28.L4 ..... passed
Testing robby/4-test/27.L4 ..... passed
Testing robby/4-test/26.L4 ..... passed
Testing robby/4-test/25.L4 ..... passed
Testing robby/4-test/24.L4 ..... passed
Testing robby/4-test/23.L4 ..... passed
Testing robby/4-test/22.L4 ..... passed
Testing robby/4-test/21.L4 ..... passed
Testing robby/4-test/20.L4 ..... passed
Testing robby/4-test/2.L4 ...... passed
Testing robby/4-test/194.L4 .... passed
Testing robby/4-test/193.L4 .... passed
Testing robby/4-test/192.L4 .... passed
Testing robby/4-test/191.L4 .... passed
Testing robby/4-test/190.L4 .... passed
Testing robby/4-test/19.L4 ..... passed
Testing robby/4-test/189.L4 .... passed
Testing robby/4-test/188.L4 .... passed
Testing robby/4-test/187.L4 .... passed
Testing robby/4-test/186.L4 .... passed
Testing robby/4-test/185.L4 .... passed
Testing robby/4-test/184.L4 .... passed
Testing robby/4-test/183.L4 .... passed
Testing robby/4-test/182.L4 .... passed
Testing robby/4-test/181.L4 .... passed
Testing robby/4-test/180.L4 .... passed
Testing robby/4-test/18.L4 ..... passed
Testing robby/4-test/179.L4 .... passed
Testing robby/4-test/178.L4 .... passed
Testing robby/4-test/177.L4 .... passed
Testing robby/4-test/176.L4 .... passed
Testing robby/4-test/175.L4 .... passed
Testing robby/4-test/174.L4 .... passed
Testing robby/4-test/173.L4 .... passed
Testing robby/4-test/172.L4 .... passed
Testing robby/4-test/171.L4 .... passed
Testing robby/4-test/170.L4 .... passed
Testing robby/4-test/17.L4 ..... passed
Testing robby/4-test/169.L4 .... passed
Testing robby/4-test/168.L4 .... passed
Testing robby/4-test/167.L4 .... passed
Testing robby/4-test/166.L4 .... passed
Testing robby/4-test/165.L4 .... passed
Testing robby/4-test/164.L4 .... passed
Testing robby/4-test/163.L4 .... passed
Testing robby/4-test/162.L4 .... passed
Testing robby/4-test/161.L4 .... passed
Testing robby/4-test/160.L4 .... passed
Testing robby/4-test/16.L4 ..... passed
Testing robby/4-test/159.L4 .... passed
Testing robby/4-test/158.L4 .... passed
Testing robby/4-test/157.L4 .... passed
Testing robby/4-test/156.L4 .... passed
Testing robby/4-test/155.L4 .... passed
Testing robby/4-test/154.L4 .... passed
Testing robby/4-test/153.L4 .... passed
Testing robby/4-test/152.L4 .... passed
Testing robby/4-test/151.L4 .... passed
Testing robby/4-test/150.L4 .... passed
Testing robby/4-test/15.L4 ..... passed
Testing robby/4-test/149.L4 .... passed
Testing robby/4-test/148.L4 .... passed
Testing robby/4-test/147.L4 .... passed
Testing robby/4-test/146.L4 .... passed
Testing robby/4-test/145.L4 .... passed
Testing robby/4-test/144.L4 .... passed
Testing robby/4-test/143.L4 .... passed
Testing robby/4-test/142.L4 .... passed
Testing robby/4-test/141.L4 .... passed
Testing robby/4-test/140.L4 .... passed
Testing robby/4-test/14.L4 ..... passed
Testing robby/4-test/139.L4 .... passed
Testing robby/4-test/138.L4 .... passed
Testing robby/4-test/137.L4 .... passed
Testing robby/4-test/136.L4 .... passed
Testing robby/4-test/135.L4 .... passed
Testing robby/4-test/134.L4 .... passed
Testing robby/4-test/133.L4 .... passed
Testing robby/4-test/132.L4 .... passed
Testing robby/4-test/131.L4 .... passed
Testing robby/4-test/130.L4 .... passed
Testing robby/4-test/13.L4 ..... passed
Testing robby/4-test/129.L4 .... passed
Testing robby/4-test/128.L4 .... passed
Testing robby/4-test/127.L4 .... passed
Testing robby/4-test/126.L4 .... passed
Testing robby/4-test/125.L4 .... passed
Testing robby/4-test/124.L4 .... passed
Testing robby/4-test/123.L4 .... passed
Testing robby/4-test/122.L4 .... passed
Testing robby/4-test/121.L4 .... passed
Testing robby/4-test/120.L4 .... passed
Testing robby/4-test/12.L4 ..... passed
Testing robby/4-test/119.L4 .... passed
Testing robby/4-test/118.L4 .... passed
Testing robby/4-test/117.L4 .... passed
Testing robby/4-test/116.L4 .... passed
Testing robby/4-test/115.L4 .... passed
Testing robby/4-test/114.L4 .... passed
Testing robby/4-test/113.L4 .... passed
Testing robby/4-test/112.L4 .... passed
Testing robby/4-test/111.L4 .... passed
Testing robby/4-test/110.L4 .... passed
Testing robby/4-test/11.L4 ..... passed
Testing robby/4-test/109.L4 .... passed
Testing robby/4-test/108.L4 .... passed
Testing robby/4-test/107.L4 .... passed
Testing robby/4-test/106.L4 .... passed
Testing robby/4-test/105.L4 .... passed
Testing robby/4-test/104.L4 .... passed
Testing robby/4-test/103.L4 .... passed
Testing robby/4-test/102.L4 .... passed
Testing robby/4-test/101.L4 .... passed
Testing robby/4-test/100.L4 .... passed
Testing robby/4-test/10.L4 ..... passed
Testing robby/4-test/1.L4 ...... passed
Testing robby/4-test/0.L4 ...... passed
Testing 41/4-test/9.L4 ......... passed
Testing 41/4-test/8.L4 ......... passed
Testing 41/4-test/7.L4 ......... passed
Testing 41/4-test/6.L4 ......... passed
Testing 41/4-test/5.L4 ......... passed
Testing 41/4-test/4.L4 ......... passed
Testing 41/4-test/3.L4 ......... passed
Testing 41/4-test/2.L4 ......... passed
Testing 41/4-test/15.L4 ........ passed
Testing 41/4-test/14.L4 ........ passed
Testing 41/4-test/13.L4 ........ passed
Testing 41/4-test/12.L4 ........ passed
Testing 41/4-test/11.L4 ........ passed
Testing 41/4-test/10.L4 ........ passed
Testing 41/4-test/1.L4 ......... passed
Testing 39/4-test/test9.L4 ..... passed
Testing 39/4-test/test8.L4 ..... passed
Testing 39/4-test/test7.L4 ..... passed
Testing 39/4-test/test6.L4 ..... failed (wrong output)
Actual:   "__x0: unbound identifier;\n also, no #%top syntax transformer is bound\n  in: __x0\n"
Expected: "12\n"
Testing 39/4-test/test5.L4 ..... passed
Testing 39/4-test/test4.L4 ..... passed
Testing 39/4-test/test3.L4 ..... passed
Testing 39/4-test/test2.L4 ..... passed
Testing 39/4-test/test15.L4 .... passed
Testing 39/4-test/test14.L4 .... passed
Testing 39/4-test/test13.L4 .... passed
Testing 39/4-test/test12.L4 .... passed
Testing 39/4-test/test11.L4 .... passed
Testing 39/4-test/test10.L4 .... passed
Testing 39/4-test/test1.L4 ..... passed
Testing 38/4-test/second.L4 .... passed
Testing 38/4-test/first.L4 ..... passed
Testing 38/4-test/9.L4 ......... passed
